generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
205,10,32,0,0,0,0,1,1,0,0,0,0,0.027000,1321,73,10,4,149,9.3900,0.4395,35.161,1,143,2992,80.0,20.0,80.0,20.0
205,11,32,1,1,1,1,1,1,1,1,0,1,0.038000,1341,73,10,4,140,19.3000,0.4463,35.702,1,143,2992,20.0,80.0,0.0,100.0
205,12,32,0,0,0,1,1,1,1,0,1,0,0.028000,1410,73,10,4,149,9.9700,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
205,13,32,0,0,1,1,1,1,0,0,0,1,0.033000,1366,73,10,4,149,10.2800,0.4608,36.862,1,143,2992,60.0,40.0,40.0,60.0
205,14,32,0,0,1,0,1,1,1,1,1,0,0.028000,1403,73,10,4,149,10.9100,0.4450,35.598,1,143,2992,20.0,80.0,60.0,40.0
205,15,32,0,1,1,1,0,0,1,0,0,0,0.027000,1409,73,10,4,149,8.8000,0.4450,35.598,1,143,2992,60.0,40.0,60.0,40.0
205,16,32,1,0,1,1,1,1,1,1,1,1,0.037000,1385,73,10,4,149,23.9200,0.4613,36.903,1,143,2992,0.0,100.0,20.0,80.0
205,17,32,1,1,1,0,0,0,0,1,1,0,0.028000,1415,73,10,4,149,9.9100,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
205,18,32,0,1,0,1,0,1,0,1,1,0,0.034000,1386,73,10,4,149,9.5700,0.4444,35.549,1,143,2992,80.0,20.0,20.0,80.0
205,19,32,0,1,1,0,0,1,0,0,1,0,0.027000,1388,73,10,4,149,9.4700,0.4449,35.594,1,143,2992,60.0,40.0,60.0,40.0
205,20,32,0,0,1,0,1,1,0,1,0,1,0.034000,1380,73,10,4,149,11.9600,0.4613,36.903,1,143,2992,60.0,40.0,40.0,60.0
205,21,32,1,0,1,1,1,1,1,0,1,0,0.029000,1410,73,10,4,149,9.9700,0.4444,35.554,1,143,2992,0.0,100.0,60.0,40.0
205,22,32,1,0,1,1,1,1,0,0,0,0,0.027000,1410,73,10,4,149,9.3900,0.4444,35.554,1,143,2992,40.0,60.0,60.0,40.0
