generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
2,17,8,1,0,0,0,1,1,0.023000,1273,67,10,4,137,27.6500,0.4393,35.144,1,51,924,33.3,66.7,66.7,33.3
2,18,8,0,1,0,0,0,0,0.023000,853,46,6,4,119,11.3400,0.3126,25.007,1,51,924,100.0,0.0,66.7,33.3
2,19,8,1,1,0,0,1,0,0.024000,1273,67,10,4,137,11.4100,0.4393,35.144,1,51,924,33.3,66.7,66.7,33.3
2,20,8,1,0,1,1,0,1,0.029000,1278,67,10,4,137,25.9100,0.4393,35.144,1,51,924,33.3,66.7,33.3,66.7
2,21,8,0,0,0,0,1,1,0.023000,1341,67,10,4,137,27.6500,0.4372,34.977,1,51,924,66.7,33.3,66.7,33.3
2,22,8,0,0,1,1,0,1,0.029000,1254,67,10,4,137,25.9100,0.4393,35.142,1,51,924,66.7,33.3,33.3,66.7
2,23,8,0,1,0,1,1,1,0.031000,1202,67,10,4,128,15.8900,0.4393,35.142,1,51,924,66.7,33.3,0.0,100.0
2,24,8,1,1,1,0,0,0,0.024000,1273,67,10,4,137,11.4100,0.4393,35.144,1,51,924,33.3,66.7,66.7,33.3
2,25,8,1,0,0,0,0,1,0.023000,1261,67,10,4,137,25.9100,0.4412,35.292,1,51,924,66.7,33.3,66.7,33.3
2,26,8,0,0,0,1,1,0,0.024000,1266,67,10,4,137,12.2000,0.4412,35.292,1,51,924,66.7,33.3,66.7,33.3
2,27,8,0,1,1,1,1,1,0.031000,1202,67,10,4,128,18.3800,0.4393,35.142,1,51,924,33.3,66.7,0.0,100.0
2,28,8,1,1,0,1,0,1,0.031000,1202,67,10,4,128,18.7100,0.4393,35.142,1,51,924,66.7,33.3,0.0,100.0
2,29,8,1,0,0,0,1,0,0.024000,851,52,10,4,131,12.2000,0.3347,26.776,1,51,924,33.3,66.7,100.0,0.0
3,2,8,0,1,1,1,0,0,0.023000,1245,67,10,4,137,11.2100,0.4392,35.137,1,51,924,66.7,33.3,33.3,66.7
3,8,8,1,0,1,0,1,1,0.024000,1269,67,10,4,137,27.6500,0.4393,35.144,1,51,924,0.0,100.0,66.7,33.3
3,14,8,1,1,0,1,1,1,0.031000,1202,67,10,4,128,22.1000,0.4393,35.142,1,51,924,33.3,66.7,0.0,100.0
3,17,8,1,0,0,1,1,1,0.030000,1278,67,10,4,137,27.6500,0.4393,35.144,1,51,924,33.3,66.7,33.3,66.7
3,19,8,0,1,0,0,1,1,0.030000,1247,67,10,4,137,7.3700,0.4392,35.137,1,51,924,66.7,33.3,33.3,66.7
3,22,8,1,1,0,1,1,0,0.023000,1270,67,10,4,137,14.3700,0.4393,35.141,1,51,924,33.3,66.7,33.3,66.7
3,24,8,1,1,0,1,0,0,0.023000,1245,67,10,4,137,13.2800,0.4392,35.137,1,51,924,66.7,33.3,33.3,66.7
3,27,8,0,1,0,1,1,0,0.023000,1254,67,10,4,137,12.9000,0.4411,35.288,1,51,924,66.7,33.3,33.3,66.7
