Metric,Value
design_name,fft_256_sol5_gen504
top_module,fft_256_sol5_gen504_top
lut_count,842
lutram_count,54
dsp_count,6
bram_count,4
ff_count,129
io_count,0
total_power_w,0.109
wns_ns,-15.089
critical_path_delay_ns,25.089
clock_period_ns,10.0
dynamic_power_w,0.041
static_power_w,0.069
saif_used,1
saif_read,1
saif_strip_path,tb_fft_power/uut
dynamic_power_vectorless_w,0.035
opt_design_ran,1
fmax_mhz,39.85810514568138
dsp48_primitives,6
use_dsp,1
kept_fp4_mul,4
kept_fp8_mul,0
kept_fp4_cmul,1
kept_fp8_cmul,0
kept_fp4_add_sub,0
kept_fp8_add_sub,0
kept_fp4_complex_add_sub,0
kept_fp8_complex_add_sub,0
kept_butterfly_wrapper,1
kept_butterfly_wrapper_gated,1
kept_complex_fp8_to_fp4,0
kept_complex_fp4_to_fp8,0
