Metric,Value
design_name,probe_fp8x4
top_module,probe_fp8x4_top
lut_count,1278
lutram_count,77
dsp_count,10
bram_count,4
ff_count,156
io_count,0
total_power_w,0.107
wns_ns,-26.804
critical_path_delay_ns,36.479
clock_period_ns,10.0
