Metric,Value
design_name,fft_64_sol27_gen381
top_module,fft_64_sol27_gen381_top
lut_count,864
lutram_count,53
dsp_count,6
bram_count,4
ff_count,132
io_count,0
total_power_w,0.101
wns_ns,-15.208
critical_path_delay_ns,25.208
clock_period_ns,10.0
dynamic_power_w,0.033
static_power_w,0.069
saif_used,1
saif_read,1
saif_strip_path,tb_fft_power/uut
dynamic_power_vectorless_w,0.030
opt_design_ran,1
fmax_mhz,39.66994604887338
dsp48_primitives,6
use_dsp,1
kept_fp4_mul,4
kept_fp8_mul,0
kept_fp4_cmul,1
kept_fp8_cmul,0
kept_fp4_add_sub,0
kept_fp8_add_sub,4
kept_fp4_complex_add_sub,0
kept_fp8_complex_add_sub,2
kept_butterfly_wrapper,1
kept_butterfly_wrapper_gated,1
kept_complex_fp8_to_fp4,0
kept_complex_fp4_to_fp8,0
