generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
505,3,256,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0.076000,1969,75,13,4,620,9.4900,0.7184,43.107,1,1123,23628,75.0,25.0,37.5,62.5
505,4,256,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0.076000,1971,75,13,4,620,9.6300,0.7184,43.107,1,1123,23628,25.0,75.0,50.0,50.0
505,5,256,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0.076000,1970,75,13,4,620,9.1200,0.7184,43.102,1,1123,23628,87.5,12.5,62.5,37.5
505,6,256,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0.076000,1970,75,13,4,620,9.4800,0.7184,43.102,1,1123,23628,25.0,75.0,50.0,50.0
505,7,256,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0.076000,1970,75,13,4,620,9.2800,0.7184,43.102,1,1123,23628,37.5,62.5,87.5,12.5
505,8,256,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0.076000,1974,75,13,4,620,1.8500,0.7201,43.209,1,1123,23628,50.0,50.0,37.5,62.5
505,9,256,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0.076000,1970,75,13,4,620,1.8600,0.7184,43.107,1,1123,23628,50.0,50.0,37.5,62.5
505,10,256,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0.076000,1974,75,13,4,620,9.6400,0.7201,43.209,1,1123,23628,50.0,50.0,62.5,37.5
505,11,256,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0.076000,1967,75,13,4,620,1.4300,0.7184,43.107,1,1123,23628,62.5,37.5,37.5,62.5
505,12,256,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0.076000,1977,75,13,4,620,1.3100,0.7184,43.107,1,1123,23628,50.0,50.0,62.5,37.5
505,13,256,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.076000,1970,75,13,4,620,9.0900,0.7184,43.102,1,1123,23628,62.5,37.5,62.5,37.5
505,14,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.074000,1509,61,13,4,616,8.9600,0.5812,34.872,1,1123,23628,87.5,12.5,100.0,0.0
505,15,256,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0.076000,1970,75,13,4,620,1.5400,0.7184,43.102,1,1123,23628,62.5,37.5,62.5,37.5
505,16,256,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.076000,1970,75,13,4,620,11.5500,0.7187,43.123,1,1123,23628,37.5,62.5,50.0,50.0
505,17,256,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0.076000,1968,75,13,4,620,9.5500,0.7184,43.107,1,1123,23628,62.5,37.5,50.0,50.0
505,18,256,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0.076000,1981,75,13,4,620,9.3400,0.7184,43.102,1,1123,23628,37.5,62.5,50.0,50.0
505,19,256,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.076000,1973,75,13,4,620,1.3100,0.7184,43.102,1,1123,23628,75.0,25.0,50.0,50.0
505,20,256,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0.075000,1376,60,9,4,614,2.0500,0.4911,29.467,1,1123,23628,100.0,0.0,12.5,87.5
505,21,256,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0.076000,1968,75,13,4,620,9.4400,0.7184,43.102,1,1123,23628,0.0,100.0,87.5,12.5
