generation,solution_id,fft_size,s0_mult,s0_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
1,0,2,0,0,0.071000,1010,21,9,0,753,100.0000,0.2302,18.414,1,16,275,100.0,0.0,100.0,0.0
1,1,2,1,1,0.072000,1799,54,13,0,698,100.0000,0.5172,41.374,1,16,275,0.0,100.0,0.0,100.0
1,2,2,1,0,0.072000,1444,40,13,0,767,100.0000,0.4208,33.664,1,16,275,0.0,100.0,100.0,0.0
1,3,2,0,1,0.072000,1254,39,9,0,696,41.4800,0.3356,26.845,1,16,275,100.0,0.0,0.0,100.0
