solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,s9_mult,s9_add,power_W,energy_pJ,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,on_pareto_front,sqnr_dB_asreported
10,1024,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.038000,1992340.0,1454,83,10,4,168,17.2831,0.7325,35.161,1,5243,102740,1,17.2831
11,1024,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.054000,2831220.0,1452,82,10,4,166,12.2576,0.7325,35.161,1,5243,102740,0,12.2576
12,1024,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.037000,1939910.0,1519,83,10,4,168,16.8107,0.7405,35.543,1,5243,102740,0,16.8107
13,1024,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.030000,1572900.0,1542,83,10,4,168,16.8107,0.7416,35.598,1,5243,102740,0,16.8107
14,1024,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.038000,1992340.0,1543,83,10,4,168,17.2110,0.7407,35.554,1,5243,102740,0,17.2110
15,1024,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.031000,1625330.0,1536,83,10,4,168,16.7962,0.7416,35.598,1,5243,102740,0,16.7962
16,1024,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.039000,2044770.0,1543,83,10,4,168,17.2831,0.7407,35.554,1,5243,102740,0,17.2831
17,1024,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.040000,2097200.0,1455,83,10,4,168,11.0702,0.7323,35.151,1,5243,102740,0,11.0702
18,1024,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.039000,2044770.0,1482,83,10,4,168,10.9788,0.7282,34.954,1,5243,102740,1,10.9788
19,1024,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.040000,2097200.0,1480,83,10,4,168,11.0538,0.7282,34.954,1,5243,102740,0,11.0538
20,1024,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.037000,1939910.0,1524,83,10,4,168,16.8107,0.7405,35.543,1,5243,102740,0,16.8107
21,1024,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.039000,2044770.0,1482,83,10,4,168,10.8741,0.7282,34.954,1,5243,102740,0,10.8741
22,1024,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.041000,2149630.0,1490,83,10,4,168,11.2229,0.7282,34.954,1,5243,102740,0,11.2229
23,1024,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.040000,2097200.0,1478,83,10,4,168,11.0632,0.7282,34.954,1,5243,102740,0,11.0632
24,1024,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.042000,2202060.0,1480,83,10,4,168,11.3902,0.7282,34.954,1,5243,102740,0,11.3902
25,1024,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.043000,2254490.0,1455,83,10,4,168,11.3759,0.7323,35.151,1,5243,102740,0,11.3759
26,1024,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.037000,1939910.0,1454,83,10,4,168,16.7962,0.7325,35.161,1,5243,102740,0,16.7962
27,1024,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.040000,2097200.0,1481,83,10,4,168,17.2831,0.7282,34.954,1,5243,102740,1,17.2831
28,1024,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.059000,3093370.0,1458,83,10,4,168,12.2576,0.7323,35.151,1,5243,102740,0,12.2576
29,1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.060000,3145800.0,1405,82,10,4,157,22.4923,0.7325,35.161,1,5243,102740,1,22.4923
