generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
405,5,128,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0.073000,1239,77,10,4,157,1.9000,0.5145,35.283,1,535,11528,42.9,57.1,42.9,57.1
405,6,128,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0.073000,1238,77,10,4,157,2.0300,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
405,7,128,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.074000,1272,77,10,4,157,10.6800,0.5319,36.471,1,535,11528,14.3,85.7,14.3,85.7
405,8,128,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0.073000,1239,77,10,4,157,7.7300,0.5176,35.490,1,535,11528,0.0,100.0,85.7,14.3
405,9,128,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0.073000,1239,77,10,4,157,7.0400,0.5176,35.490,1,535,11528,28.6,71.4,57.1,42.9
405,10,128,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.073000,1239,77,10,4,157,7.3600,0.5176,35.490,1,535,11528,57.1,42.9,71.4,28.6
405,11,128,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0.073000,1239,77,10,4,157,7.8200,0.5176,35.490,1,535,11528,28.6,71.4,71.4,28.6
405,12,128,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0.073000,1239,77,10,4,157,7.8200,0.5176,35.490,1,535,11528,57.1,42.9,57.1,42.9
405,13,128,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0.073000,1244,77,10,4,157,7.9900,0.5176,35.490,1,535,11528,28.6,71.4,85.7,14.3
405,14,128,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0.073000,1243,77,10,4,157,9.4200,0.5175,35.487,1,535,11528,71.4,28.6,57.1,42.9
405,15,128,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.073000,1250,77,10,4,157,10.7000,0.5176,35.490,1,535,11528,57.1,42.9,42.9,57.1
405,16,128,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0.073000,1239,77,10,4,157,8.1400,0.5176,35.490,1,535,11528,42.9,57.1,57.1,42.9
405,17,128,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0.073000,1244,77,10,4,157,7.4500,0.5176,35.490,1,535,11528,14.3,85.7,85.7,14.3
405,18,128,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.073000,1243,77,10,4,157,6.2600,0.5175,35.487,1,535,11528,71.4,28.6,57.1,42.9
405,19,128,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0.073000,1239,77,10,4,157,9.5600,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
405,20,128,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.073000,1248,77,10,4,157,12.1400,0.5176,35.490,1,535,11528,28.6,71.4,42.9,57.1
