generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
105,13,16,0,0,0,1,0,1,1,0,0.075000,1910,63,13,4,596,12.4300,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
105,14,16,0,1,0,1,1,0,0,1,0.075000,1905,63,13,4,596,3.2800,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
105,15,16,0,0,0,1,0,0,0,0,0.074000,1324,48,9,4,590,11.0800,0.3461,27.684,1,83,1628,100.0,0.0,75.0,25.0
105,16,16,0,1,0,1,0,1,1,1,0.075000,1864,63,13,4,587,14.6500,0.5259,42.072,1,83,1628,75.0,25.0,0.0,100.0
105,17,16,0,0,0,0,1,1,0,0,0.075000,1892,63,13,4,596,11.8600,0.5371,42.967,1,83,1628,75.0,25.0,75.0,25.0
105,18,16,1,0,0,0,0,0,1,0,0.074000,1455,49,13,4,592,11.5400,0.4241,33.929,1,83,1628,50.0,50.0,100.0,0.0
105,19,16,1,0,0,1,0,1,1,0,0.075000,1910,63,13,4,596,12.4300,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
105,20,16,1,1,0,0,1,0,1,0,0.075000,1910,63,13,4,596,4.6000,0.5259,42.069,1,83,1628,25.0,75.0,75.0,25.0
105,21,16,1,0,0,0,0,1,1,1,0.075000,1903,63,13,4,596,23.4800,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
105,22,16,0,1,0,0,1,0,0,1,0.075000,1910,63,13,4,596,2.8000,0.5259,42.069,1,83,1628,75.0,25.0,50.0,50.0
105,23,16,0,1,1,0,1,1,0,0,0.075000,1903,63,13,4,596,3.6800,0.5259,42.069,1,83,1628,50.0,50.0,50.0,50.0
105,24,16,1,0,0,0,0,0,1,1,0.075000,1916,63,13,4,596,12.0200,0.5259,42.069,1,83,1628,50.0,50.0,75.0,25.0
105,25,16,0,0,0,0,0,0,0,1,0.074000,1330,48,9,4,590,11.1500,0.3461,27.684,1,83,1628,100.0,0.0,75.0,25.0
105,26,16,0,1,1,1,0,0,0,1,0.075000,1905,63,13,4,596,3.6700,0.5259,42.069,1,83,1628,75.0,25.0,25.0,75.0
